,alpha,Run Time,loss,n_iter,Average F-Meas,Average Precision,Average Recall,Overall Accuracy
0,1e-06,255.2298309803009,0.40406480268489614,80.0,0.71,0.79,0.67,0.83
1,4.9999999999999996e-06,207.29756212234497,0.4195256970682436,67.0,0.69,0.78,0.64,0.83
2,1e-05,353.0975561141968,0.37802143887809236,119.0,0.74,0.8,0.71,0.85
3,4.9999999999999996e-05,135.6914598941803,0.45127711408475063,45.0,0.66,0.76,0.62,0.81
4,0.0001,202.69211316108704,0.41922095623482514,69.0,0.7,0.78,0.66,0.83
5,0.0004999999999999999,220.66328883171082,0.41799843974994166,74.0,0.69,0.78,0.66,0.83
6,0.001,173.79683995246887,0.4357589916892097,58.0,0.68,0.77,0.64,0.82
7,0.004999999999999999,208.02780604362488,0.42228233072290466,70.0,0.7,0.79,0.66,0.83
8,0.01,162.27555203437805,0.4448541970664829,55.0,0.68,0.76,0.64,0.82
9,0.049999999999999996,206.15346884727478,0.46344293269953907,69.0,0.68,0.75,0.65,0.82
10,0.1,238.84415292739868,0.49974552530234173,61.0,0.65,0.78,0.61,0.82
11,0.5,151.55365991592407,0.6093517284435034,44.0,0.58,0.72,0.55,0.78
