,learning_rate_init,Run Time,loss,n_iter,Average F-Meas,Average Precision,Average Recall,Overall Accuracy
0,1e-05,365.6586899757385,0.666313551915333,121.0,0.45,0.66,0.44,0.73
1,4.9999999999999996e-05,449.3800640106201,0.5753381780111804,155.0,0.55,0.69,0.52,0.76
2,0.0001,519.4648449420929,0.5219711731606048,180.0,0.59,0.72,0.56,0.78
3,0.0004999999999999999,318.64196515083313,0.4552448312706529,108.0,0.65,0.74,0.62,0.81
4,0.001,302.21496391296387,0.40026878682675765,103.0,0.72,0.79,0.68,0.83
5,0.004999999999999999,129.44347405433655,0.39418103735150734,44.0,0.72,0.78,0.68,0.84
6,0.01,129.0739231109619,0.3621842008576863,45.0,0.74,0.79,0.7,0.85
7,0.049999999999999996,134.75867891311646,0.3343879995016113,49.0,0.79,0.82,0.76,0.86
8,0.1,121.84920692443848,0.30501510008072785,45.0,0.81,0.84,0.78,0.87
9,0.5,139.4628610610962,0.3711499392690366,59.0,0.75,0.81,0.71,0.85
10,1.0,97.90924096107483,0.6093417343380605,43.0,0.49,0.6,0.49,0.76
