,momentum,Run Time,loss,n_iter,Average F-Meas,Average Precision,Average Recall,Overall Accuracy
0,0.01,477.4084701538086,0.5266911805369501,144.0,0.59,0.7,0.56,0.78
1,0.03,318.16108798980713,0.5489983525651859,109.0,0.56,0.67,0.53,0.77
2,0.05,397.0816721916199,0.5324044197664352,135.0,0.59,0.71,0.55,0.77
3,0.06999999999999999,382.8233230113983,0.535172775360037,126.0,0.59,0.71,0.56,0.77
4,0.09,432.6734879016876,0.5302491823896623,144.0,0.59,0.7,0.56,0.77
5,0.11,280.75005412101746,0.5460404404329943,95.0,0.57,0.69,0.54,0.77
6,0.13,390.0861430168152,0.5317125273862419,122.0,0.59,0.71,0.56,0.78
7,0.15000000000000002,333.00974893569946,0.542375356839038,110.0,0.58,0.7,0.55,0.77
8,0.17,243.78617906570435,0.5567098138467643,79.0,0.57,0.7,0.54,0.76
9,0.19,344.9811820983887,0.536976713127278,117.0,0.59,0.7,0.56,0.77
10,0.21000000000000002,338.27402687072754,0.53554293537441,114.0,0.59,0.71,0.56,0.77
11,0.23,412.80992913246155,0.5186611628972732,134.0,0.6,0.71,0.57,0.78
12,0.25,463.8145079612732,0.5103180115437511,155.0,0.6,0.72,0.57,0.78
13,0.27,248.3378849029541,0.5442808877595218,83.0,0.58,0.7,0.55,0.77
14,0.29000000000000004,425.04073095321655,0.50891681086537,139.0,0.61,0.72,0.57,0.78
15,0.31,274.81029510498047,0.5383779558802521,91.0,0.58,0.71,0.55,0.77
16,0.33,347.5449471473694,0.5175073498684286,114.0,0.61,0.71,0.58,0.78
17,0.35000000000000003,288.49449396133423,0.531844902007102,94.0,0.59,0.71,0.56,0.77
18,0.37,270.1425850391388,0.5339352129884039,92.0,0.6,0.71,0.57,0.77
19,0.39,310.6749289035797,0.5238577846132219,105.0,0.6,0.72,0.57,0.78
20,0.41000000000000003,376.16808891296387,0.5040123333456279,132.0,0.62,0.74,0.58,0.79
21,0.43,502.13738107681274,0.4855735324715533,172.0,0.63,0.75,0.59,0.8
22,0.45,353.4341630935669,0.5072100548091252,117.0,0.61,0.73,0.57,0.78
23,0.47000000000000003,217.68004298210144,0.5391994802064929,69.0,0.56,0.68,0.54,0.77
24,0.49,558.3655459880829,0.4677763838296492,177.0,0.64,0.75,0.61,0.8
25,0.51,338.6787269115448,0.5046879465222165,109.0,0.61,0.72,0.58,0.79
26,0.53,270.9341170787811,0.5165292293160562,87.0,0.6,0.72,0.57,0.78
27,0.55,296.5316700935364,0.4982250046133602,101.0,0.62,0.74,0.59,0.79
28,0.5700000000000001,301.6619338989258,0.4976904467633135,101.0,0.6,0.72,0.57,0.79
29,0.59,385.2967448234558,0.4700332277202219,129.0,0.64,0.74,0.6,0.8
30,0.61,280.9693570137024,0.5021811945656477,94.0,0.61,0.72,0.58,0.79
31,0.63,328.3187279701233,0.47794851075293326,113.0,0.63,0.74,0.59,0.8
32,0.65,349.2982189655304,0.46890987149537505,120.0,0.64,0.73,0.6,0.8
33,0.67,330.42554807662964,0.47393683071976883,111.0,0.63,0.74,0.6,0.8
34,0.6900000000000001,290.1489760875702,0.47749980883874765,96.0,0.64,0.74,0.6,0.8
35,0.7100000000000001,297.8529968261719,0.4645398705051339,104.0,0.64,0.74,0.61,0.81
36,0.73,272.1329891681671,0.4674681734126013,97.0,0.63,0.74,0.59,0.8
37,0.75,312.27950620651245,0.44983733365131306,112.0,0.66,0.75,0.62,0.81
38,0.77,230.5056231021881,0.46789091582474757,79.0,0.65,0.76,0.61,0.8
39,0.79,212.2151699066162,0.4664986034369484,72.0,0.64,0.74,0.6,0.8
40,0.81,302.706444978714,0.43799443847917435,99.0,0.67,0.77,0.63,0.82
41,0.8300000000000001,210.5643880367279,0.45661762345951207,70.0,0.66,0.75,0.62,0.81
42,0.85,205.35223817825317,0.44484053348651365,68.0,0.67,0.76,0.63,0.81
43,0.87,333.5603199005127,0.39484632016124604,113.0,0.71,0.79,0.67,0.84
44,0.89,240.19733381271362,0.4160473612464319,78.0,0.69,0.77,0.65,0.83
45,0.91,154.14825797080994,0.43536727312452533,51.0,0.67,0.76,0.63,0.82
46,0.93,173.56639003753662,0.41168454203818794,57.0,0.71,0.77,0.68,0.83
47,0.9500000000000001,124.20488119125366,0.4120421572018633,42.0,0.71,0.78,0.68,0.83
48,0.97,106.950856924057,0.39461232940020724,36.0,0.71,0.78,0.68,0.84
49,0.99,68.68033695220947,0.38947532866363144,23.0,0.73,0.8,0.69,0.84
