,tol,Run Time,loss,n_iter,Average F-Meas,Average Precision,Average Recall,Overall Accuracy
0,1e-06,327.64033102989197,0.39904128712579634,117.0,0.71,0.78,0.67,0.83
1,4.9999999999999996e-06,295.84906101226807,0.3983189083715475,102.0,0.71,0.79,0.67,0.83
2,1e-05,230.3995749950409,0.42550904975872733,77.0,0.69,0.77,0.65,0.82
3,4.9999999999999996e-05,274.68253898620605,0.4126782214447546,89.0,0.69,0.78,0.65,0.83
4,0.0001,298.08109879493713,0.4077930289979985,100.0,0.7,0.78,0.66,0.83
5,0.0004999999999999999,229.3368649482727,0.42173153798869595,77.0,0.68,0.79,0.64,0.82
6,0.001,214.14747190475464,0.4306670841700673,71.0,0.67,0.76,0.63,0.82
7,0.004999999999999999,60.22149896621704,0.5871721579083953,20.0,0.55,0.68,0.52,0.75
8,0.01,59.79804491996765,0.5875683786680583,20.0,0.54,0.68,0.51,0.75
9,0.049999999999999996,56.54178810119629,0.600145999133581,19.0,0.54,0.71,0.51,0.75
10,0.1,56.473809003829956,0.5963328135111919,19.0,0.54,0.69,0.51,0.75
11,0.49999999999999994,56.30371308326721,0.6000129614876456,19.0,0.54,0.68,0.51,0.74
12,1.0,54.624382972717285,0.5964078803864605,19.0,0.54,0.7,0.51,0.75
13,5.000000000000001,60.42506790161133,0.5980639656494018,19.0,0.53,0.67,0.51,0.74
14,10.0,58.54613494873047,0.5977631502195705,19.0,0.53,0.7,0.51,0.75
